,name,position,height,weight,experience,country
1009,Terry Davis,Power Forward and Center,206,102,10,Virginia
1010,Tyler Davis,Center,208,120,1,California
1011,Walt Davis,Power Forward and Center,203,92,5,Texas
1012,Walter Davis,Shooting Guard and Small Forward,198,87,15,North Carolina
1013,Warren Davis,Power Forward and Small Forward,198,96,6,New Jersey
1014,Willie Davis,Center,203,106,1,Texas
1015,Andre Dawkins,Shooting Guard,196,97,1,Virginia
1016,Darryl Dawkins,Center,211,113,14,Florida
1017,Johnny Dawkins,Point Guard,188,74,9,District of Columbia
1018,Paul Dawkins,Small Forward,196,86,1,Michigan
1019,Branden Dawson,Power Forward,198,102,1,Indiana
1020,Eric Dawson,Center,206,113,1,Texas
1021,Jimmy Dawson,Point Guard,183,79,1,Illinois
1022,Tony Dawson,Small Forward,201,97,2,North Carolina
1023,Todd Day,Shooting Guard,198,85,8,Illinois
1024,Austin Daye,Small Forward,211,99,6,California
1025,Darren Daye,Small Forward,203,99,5,Iowa
1026,Nando De Colo,Small Forward and Shooting Guard,196,90,2,France
1027,Billy DeAngelis,Guard,185,81,1,
1028,Dave DeBusschere,Power Forward and Small Forward,198,99,12,Michigan
1029,Andrew DeClercq,Center,208,104,10,Michigan
1030,Nate DeLong,Center,198,99,1,Wisconsin
1031,Joe DePre,Shooting Guard,190,83,2,New York
1032,DeMar DeRozan,Shooting Guard,198,99,12,California
1033,Hank DeZonie,Center,198,97,1,New York
1034,Greg Deane,Shooting Guard,193,86,1,California
1035,Gabriel Deck,Power Forward,203,105,1,Argentina
1036,Dewayne Dedmon,Center,213,111,8,California
1037,Don Dee,Power Forward,203,95,1,Missouri
1038,Archie Dees,Power Forward and Center,203,92,4,Mississippi
1039,Terry Dehere,Point Guard and Shooting Guard,188,86,6,New York
1040,Red Dehnert,Forward,190,79,1,New York
1041,Bryce Dejean-Jones,Shooting Guard,198,94,1,California
1042,Sam Dekker,Power Forward,206,104,4,Wisconsin
1043,Vinny Del Negro,Shooting Guard and Point Guard,193,83,12,Massachusetts
1044,Malcolm Delaney,Point Guard,190,86,2,Maryland
1045,Bison Dele,Center and Power Forward,206,106,8,California
1046,Carlos Delfino,Small Forward and Shooting Guard,198,104,8,Argentina
1047,Ángel Delgado,Center,208,111,1,Dominican Republic
1048,Tony Delk,Point Guard and Shooting Guard,185,85,10,Tennessee
1049,Matthew Dellavedova,Point Guard and Shooting Guard,190,90,8,Australia
1050,Fennis Dembo,Small Forward,196,97,1,Alabama
1051,Larry Demic,Power Forward,206,102,3,Indiana
1052,Dell Demps,Shooting Guard and Point Guard,190,92,3,California
1053,George Dempsey,Point Guard and Shooting Guard,188,86,5,Pennsylvania
1054,Luol Deng,Small Forward and Power Forward,206,107,15,South Sudan
1055,Kenny Dennard,Power Forward,203,99,3,North Carolina
1056,Blaine Denning,Guard,188,79,1,Kentucky
1057,Justin Dentmon,Point Guard,180,83,2,Illinois
1058,Randy Denton,Center,208,108,6,North Carolina
1059,Rod Derline,Shooting Guard,183,79,2,Washington
1060,Marcus Derrickson,Power Forward,201,112,1,District of Columbia
1061,Dave Deutsch,Guard,185,77,1,New York
1062,Corky Devlin,Shooting Guard,196,88,3,New Jersey
1063,Ernie DiGregorio,Point Guard,183,81,5,Rhode Island
1064,Donte DiVincenzo,Shooting Guard,193,92,3,Delaware
1065,Mamadi Diakite,Power Forward,206,103,1,Guinea
1066,Derrick Dial,Shooting Guard,193,83,4,Michigan
1067,Cheick Diallo,Power Forward and Center,203,99,4,Mali
1068,Hamidou Diallo,Shooting Guard and Small Forward,196,91,3,New York
1069,Boris Diaw,Power Forward and Shooting Guard,203,113,14,France
1070,Yakhouba Diawara,Shooting Guard and Small Forward,201,102,4,France
1071,Guillermo Díaz,Shooting Guard,188,87,1,Puerto Rico
1072,Dan Dickau,Point Guard,183,86,6,Oregon
1073,Kaniel Dickens,Power Forward and Small Forward,203,97,3,Colorado
1074,Henry Dickerson,Shooting Guard and Point Guard,193,86,2,West Virginia
1075,Michael Dickerson,Shooting Guard,196,86,5,South Carolina
1076,Clyde Dickey,Shooting Guard,190,83,1,Indiana
1077,Derrek Dickey,Power Forward,201,98,5,Ohio
1078,Dick Dickey,Point Guard,185,79,1,Indiana
1079,John Dickson,Center,208,108,1,Arkansas
1080,Travis Diener,Point Guard,185,79,5,Wisconsin
1081,Gorgui Dieng,Center and Power Forward,208,114,8,Senegal
1082,Connie Dierking,Center,206,100,10,New York
1083,Coby Dietrick,Center and Power Forward,208,99,13,California
1084,Craig Dill,Center,211,97,1,
1085,Dwaine Dillard,Small Forward,198,104,1,
1086,Mickey Dillard,Point Guard,190,77,1,Florida
1087,Bob Dille,Forward,190,86,1,
1088,Hook Dillon,Forward,190,81,1,Georgia
1089,Byron Dinkins,Point Guard,185,77,2,North Carolina
1090,Jackie Dinkins,Small Forward,196,95,1,
1091,Harry Dinnel,Forward,193,90,1,California
1092,Bill Dinwiddie,Small Forward and Power Forward,201,99,4,
1093,Spencer Dinwiddie,Point Guard and Shooting Guard,196,97,7,California
1094,Ike Diogu,Power Forward,203,113,6,New York
1095,DeSagana Diop,Center and Power Forward,213,136,12,Senegal
1096,Terry Dischinger,Small Forward and Shooting Guard,201,85,9,Indiana
1097,Fred Diute,Shooting Guard,190,95,1,New York
1098,Vlade Divac,Center,216,110,16,Serbia
1099,Juan Dixon,Shooting Guard and Point Guard,190,74,7,Maryland
1100,Earl Dodd,Forward,196,79,1,Illinois
1101,Michael Doleac,Center,211,118,10,Texas
1102,Joe Dolhon,Guard,183,79,2,New York
1103,Bob Doll,Forward,196,88,4,Colorado
1104,James Donaldson,Center,218,124,14,United Kingdom
1105,Luka Dončić,Point Guard and Shooting Guard,201,104,3,Slovenia
1106,Bob Donham,Shooting Guard,188,86,4,Indiana
1107,Billy Donovan,Point Guard,180,77,1,New York
1108,Harry Donovan,Guard,188,81,1,New Jersey
1109,Keyon Dooling,Point Guard and Shooting Guard,190,88,13,Florida
1110,Aleksandar Djordjevic,Shooting Guard,188,89,1,Serbia
1111,Jacky Dorsey,Small Forward,201,104,3,Georgia
1112,Joey Dorsey,Power Forward and Center,203,121,4,Maryland
1113,Ron Dorsey,Forward,193,90,1,
1114,Tyler Dorsey,Shooting Guard,196,83,2,California
1115,Luguentz Dort,Shooting Guard and Small Forward,190,97,2,Canada
1116,Damyean Dotson,Shooting Guard,196,95,4,Texas
1117,Devon Dotson,Point Guard,188,83,1,Illinois
1118,Quincy Douby,Point Guard,190,79,3,New York
1119,Bruce Douglas,Shooting Guard,190,88,1,Illinois
1120,John Douglas,Shooting Guard,188,77,2,Alabama
1121,Leon Douglas,Center,208,104,7,Alabama
1122,Sherman Douglas,Point Guard,183,81,12,District of Columbia
1123,Toney Douglas,Point Guard and Shooting Guard,188,88,8,Georgia
1124,Chris Douglas-Roberts,Shooting Guard and Small Forward,201,90,6,Michigan
1125,Sekou Doumbouya,Power Forward,203,104,2,Guinea
1126,Sonny Dove,Power Forward,201,89,5,New York
1127,Jerry Dover,Point Guard,170,70,1,
1128,Zabian Dowdell,Point Guard,190,86,1,Florida
1129,Bill Downey,Center,198,95,1,
1130,Steve Downing,Center,203,102,2,Indiana
1131,Danny Doyle,Power Forward,203,90,1,New York
1132,Milton Doyle,Shooting Guard,193,83,1,Illinois
1133,PJ Dozier,Shooting Guard and Point Guard,198,92,4,South Carolina
1134,Terry Dozier,Small Forward,206,95,1,Maryland
1135,Goran Dragić,Point Guard and Shooting Guard,190,86,13,Slovenia
1136,Zoran Dragić,Shooting Guard,196,90,1,Slovenia
1137,Greg Dreiling,Center,216,113,10,Kansas
1138,Bryce Drew,Point Guard,188,83,6,Louisiana
1139,John Drew,Small Forward and Power Forward,198,92,11,Alabama
1140,Larry Drew,Point Guard,185,77,10,Kansas
1141,Larry Drew II,Point Guard,188,81,2,California
1142,Clyde Drexler,Shooting Guard,201,95,15,Louisiana
1143,Nate Driggers,Shooting Guard,196,97,1,Illinois
1144,Terry Driscoll,Power Forward and Center,201,97,5,Massachusetts
1145,Predrag Drobnjak,Center,211,122,4,Montenegro
1146,Ralph Drollinger,Center,218,113,1,California
1147,Andre Drummond,Center,208,126,9,New York
1148,Dennis DuVal,Point Guard,190,79,2,New York
1149,Dick Duckett,Point Guard,185,83,1,New York
1150,Kevin Duckworth,Center,213,124,11,Illinois
1151,Charles Dudley,Point Guard,188,81,6,Pennsylvania
1152,Chris Dudley,Center and Power Forward,211,106,16,Connecticut
1153,Jared Dudley,Power Forward,198,107,14,California
1154,Terry Duerod,Shooting Guard and Small Forward,188,81,4,Michigan
1155,Bob Duffy,Forward,193,79,1,Ohio
1156,Bob Duffy,Point Guard,190,83,3,New York
1157,Chris Duhon,Point Guard,185,83,9,Louisiana
1158,Duje Dukan,Small Forward,206,99,1,Croatia
1159,Walter Dukes,Center,213,99,8,New York
1160,Joe Dumars,Shooting Guard and Point Guard,190,86,14,Louisiana
1161,Rich Dumas,Guard,190,77,1,United States
1162,Richard Dumas,Small Forward and Power Forward,201,90,3,Oklahoma
1163,Tony Dumas,Shooting Guard,198,86,4,Illinois
1164,Andy Duncan,Forward,198,88,3,
1165,Tim Duncan,Center and Power Forward,211,113,19,U.S. Virgin Islands
1166,Mike Dunleavy,Point Guard and Shooting Guard,190,81,11,New York
1167,Mike Dunleavy,Small Forward,206,104,15,Texas
1168,Kris Dunn,Point Guard,190,92,5,Connecticut
1169,Pat Dunn,Shooting Guard,188,77,1,
1170,T.R. Dunn,Shooting Guard and Small Forward,193,87,14,Alabama
1171,Ronald Dupree,Small Forward,201,94,6,Mississippi
1172,Kevin Durant,Small Forward,208,108,13,District of Columbia
1173,John Duren,Point Guard,190,88,3,District of Columbia
1174,Jarrett Durham,Forward,196,85,1,
1175,Pat Durham,Small Forward,201,95,2,Texas
1176,Devin Durrant,Small Forward,201,90,2,Utah
1177,Ken Durrett,Small Forward,201,86,4,Pennsylvania
1178,Trevon Duval,Point Guard,188,85,1,Delaware
1179,Jack Dwan,Forward,193,90,1,Oklahoma
1180,Craig Dykema,Small Forward,203,86,1,California
1181,Gene Dyker,Forward,198,102,1,Illinois
1182,Jerome Dyson,Point Guard,190,81,1,Maryland
1183,Ledell Eackles,Shooting Guard,196,99,7,Louisiana
1184,Jim Eakins,Center and Power Forward,211,97,10,California
1185,Acie Earl,Center,208,108,4,Illinois
1186,Ed Earle,Power Forward,190,86,1,Illinois
1187,Cleanthony Early,Small Forward,203,95,2,New York
1188,Penny Early,Guard,160,51,1,
1189,Mark Eaton,Center,224,124,11,California
1190,Jerry Eaves,Point Guard,193,81,4,Kentucky
1191,Devin Ebanks,Shooting Guard and Small Forward,206,97,3,New York
1192,Bill Ebben,Guard,193,86,1,
1193,Al Eberhard,Small Forward,198,102,4,Iowa
1194,Ndudi Ebi,Shooting Guard and Small Forward,206,90,2,United Kingdom
1195,Roy Ebron,Center,206,99,1,Virginia
1196,Jarell Eddie,Small Forward,201,98,3,Florida
1197,Patrick Eddie,Center,211,108,1,Wisconsin
1198,Dike Eddleman,Small Forward,190,85,4,Illinois
1199,Kenton Edelin,Small Forward,203,92,1,Germany
1200,Charles Edge,Small Forward,198,95,2,Michigan
1201,Bobby Edmonds,Small Forward,198,99,2,Indiana
1202,Keith Edmonson,Shooting Guard,196,88,2,Mississippi
1203,Tyus Edney,Point Guard,178,68,4,California
1204,Anthony Edwards,Shooting Guard,193,102,1,Georgia
1205,Bill Edwards,Power Forward,203,97,1,Ohio
1206,Blue Edwards,Small Forward and Shooting Guard,193,90,10,District of Columbia
1207,Carsen Edwards,Shooting Guard,180,90,2,Texas
1208,Corsley Edwards,Center,206,124,1,Maryland
1209,Doug Edwards,Power Forward,201,99,3,Florida
1210,Franklin Edwards,Point Guard,185,77,7,New York
1211,James Edwards,Center,213,102,19,Washington
1212,Jay Edwards,Shooting Guard,193,83,1,Indiana
1213,John Edwards,Center,213,124,2,Ohio
1214,Kevin Edwards,Shooting Guard and Point Guard,190,86,11,Ohio
1215,Shane Edwards,Small Forward,201,99,1,California
1216,Vince Edwards,Small Forward,203,102,1,Ohio
1217,Johnny Egan,Point Guard,180,81,11,Connecticut
1218,Lonnie Eggleston,Guard,183,77,1,Texas
1219,Bulbs Ehlers,Forward,190,89,2,Illinois
1220,Craig Ehlo,Shooting Guard,198,81,14,Texas
1221,Rich Eichhorst,Guard,190,90,1,
1222,Howard Eisley,Point Guard and Shooting Guard,188,80,12,Michigan
1223,Obinna Ekezie,Power Forward and Center,206,122,4,Nigeria
1224,Khalid El-Amin,Point Guard,178,90,1,Minnesota
1225,Don Eliason,Forward,188,95,1,Minnesota
1226,Mario Elie,Small Forward and Shooting Guard,196,95,11,New York
1227,CJ Elleby,Small Forward,198,90,1,Washington
1228,Ray Ellefson,Center,203,104,2,South Dakota
1229,Henry Ellenson,Power Forward and Center,208,108,5,Wisconsin
1230,Wayne Ellington,Shooting Guard,193,93,12,Pennsylvania
1231,Bob Elliott,Power Forward and Center,206,102,3,Michigan
1232,Sean Elliott,Small Forward,203,92,12,Arizona
1233,Bo Ellis,Power Forward,206,89,3,Illinois
1234,Boo Ellis,Power Forward,196,83,2,
1235,Dale Ellis,Small Forward and Shooting Guard,201,92,17,Georgia
1236,Harold Ellis,Small Forward,196,90,3,Georgia
1237,Joe Ellis,Small Forward and Power Forward,198,79,8,
1238,LaPhonso Ellis,Power Forward and Small Forward,203,108,11,Illinois
1239,LeRon Ellis,Center,206,102,3,California
1240,Leroy Ellis,Center and Power Forward,208,95,14,New York
1241,Monta Ellis,Shooting Guard,190,83,12,Mississippi
1242,Pervis Ellison,Center and Power Forward,206,95,11,Georgia
1243,Len Elmore,Center and Power Forward,206,99,10,New York
1244,Francisco Elson,Center,213,106,9,Netherlands
1245,Darrell Elston,Shooting Guard,193,86,2,Indiana
1246,Melvin Ely,Center and Power Forward,208,117,9,Illinois
1247,Joel Embiid,Center,213,127,5,Cameroon
1248,Wayne Embry,Center,203,108,11,Ohio
1249,Andre Emmett,Shooting Guard and Small Forward,196,104,2,Texas
1250,Ned Endress,Forward,188,90,1,Ohio
1251,Wayne Engelstad,Power Forward,203,111,1,California
1252,Chris Engler,Center,211,111,5,Minnesota
1253,A.J. English,Shooting Guard,190,79,2,Delaware
1254,Alex English,Small Forward,201,86,15,South Carolina
1255,Claude English,Forward,193,83,1,Georgia
1256,Jo Jo English,Shooting Guard,193,88,3,Germany
1257,Kim English,Shooting Guard,198,90,1,Maryland
1258,Scott English,Small Forward,198,92,3,Illinois
1259,Gene Englund,Forward,196,92,1,Wisconsin
1260,James Ennis,Small Forward and Shooting Guard,198,97,7,California
1261,Tyler Ennis,Point Guard,190,87,4,Canada
1262,Ray Epps,Small Forward,198,88,1,Virginia
1263,Semih Erden,Center,213,108,2,Turkey
1264,Bo Erias,Small Forward,190,99,1,New York
1265,Keith Erickson,Small Forward and Shooting Guard,196,88,12,California
1266,Julius Erving,Small Forward,201,95,16,New York
1267,Evan Eschmeyer,Center,211,115,4,Ohio
1268,Jack Eskridge,Center,196,90,1,
1269,Vincenzo Esposito,Point Guard,190,89,1,Italy
1270,Drew Eubanks,Center and Power Forward,206,111,3,Mississippi
1271,Billy Evans,Point Guard,183,77,1,
1272,Bob Evans,Guard,188,79,1,Indiana
1273,Brian Evans,Small Forward,203,99,3,Illinois
1274,Earl Evans,Power Forward,203,91,1,Texas
1275,Jacob Evans,Shooting Guard,193,95,2,North Carolina
1276,Jawun Evans,Point Guard,183,83,2,South Carolina
1277,Jeremy Evans,Small Forward and Power Forward,206,90,7,Arkansas
1278,Maurice Evans,Shooting Guard and Small Forward,196,99,9,Kansas
1279,Mike Evans,Point Guard and Shooting Guard,185,77,9,North Carolina
1280,Reggie Evans,Power Forward,203,111,13,Florida
1281,Tyreke Evans,Shooting Guard,198,99,10,Pennsylvania
1282,Daniel Ewing,Shooting Guard and Point Guard,190,83,2,Florida
1283,Patrick Ewing,Center and Power Forward,213,108,17,Jamaica
1284,Patrick Ewing,Small Forward,203,106,1,Massachusetts
1285,Dante Exum,Point Guard and Shooting Guard,196,97,6,Australia
1286,Christian Eyenga,Small Forward,196,95,2,Democratic Republic of the Congo
1287,Festus Ezeli,Center,211,115,3,Nigeria
1288,Johnny Ezersky,Forward,190,79,3,New York
1289,Joe Fabel,Forward,185,86,1,Ohio
1290,John Fairchild,Small Forward,203,92,4,California
1291,Tacko Fall,Center,226,141,2,Senegal
1292,Phil Farbman,Forward,185,83,1,New York
1293,Kenneth Faried,Power Forward and Center,203,99,8,New Jersey
1294,Dick Farley,Shooting Guard,193,86,3,
1295,Jordan Farmar,Point Guard,188,81,10,California
1296,Desmon Farmer,Shooting Guard,196,99,2,Michigan
1297,Jim Farmer,Shooting Guard,193,86,5,Alabama
1298,Mike Farmer,Small Forward,201,95,7,Oklahoma
1299,Tony Farmer,Power Forward and Center,206,110,2,California
1300,Bob Faught,Forward,196,83,1,Ohio
1301,Vítor Luiz Faverani,Center,211,117,1,Brazil
1302,Derrick Favors,Power Forward and Center,206,120,11,Georgia
1303,Nick Fazekas,Power Forward,211,106,1,Colorado
1304,Dave Fedor,Forward,198,86,1,
1305,Bob Feerick,Forward,190,86,4,California
1306,Butch Feher,Shooting Guard,193,83,1,Michigan
1307,Jamie Feick,Center and Power Forward,206,115,5,Ohio
1308,Ron Feiereisel,Guard,190,83,1,
1309,George Feigenbaum,Point Guard,185,83,2,New York
1310,Dave Feitl,Center,211,106,5,Pennsylvania
1311,Kay Felder,Point Guard,175,79,2,Michigan
1312,Cristiano Felício,Center,211,122,6,Brazil
1313,Carrick Felix,Shooting Guard,198,91,1,Nevada
1314,Noel Felix,Small Forward,206,102,1,California
1315,Ray Felix,Center,211,99,9,New York
1316,Raymond Felton,Point Guard and Shooting Guard,185,92,14,South Carolina
1317,Jake Fendley,Shooting Guard and Point Guard,183,81,2,Illinois
1318,Warren Fenley,Forward,190,86,1,
1319,Desmond Ferguson,Small Forward,201,92,1,Michigan
1320,Terrance Ferguson,Shooting Guard and Small Forward,198,86,4,Oklahoma
1321,Rudy Fernández,Shooting Guard,198,83,4,Spain
1322,Bruno Fernando,Center,206,108,2,Angola
1323,Eric Fernsten,Center and Power Forward,208,92,6,California
1324,Al Ferrari,Shooting Guard and Small Forward,193,86,6,New York
1325,Rolando Ferreira,Center,216,108,1,Brazil
1326,Duane Ferrell,Small Forward,201,94,11,Maryland
1327,Yogi Ferrell,Point Guard and Shooting Guard,183,80,5,Indiana
1328,Arnie Ferrin,Forward,188,81,3,Utah
1329,Bob Ferry,Center and Power Forward,203,104,10,Missouri
1330,Danny Ferry,Power Forward and Small Forward,208,104,13,Maryland
1331,Kyrylo Fesenko,Center,216,130,5,Ukraine
1332,Bobby Fields,Guard,190,79,1,Illinois
1333,Kenny Fields,Small Forward,196,99,4,Iowa
1334,Landry Fields,Small Forward and Shooting Guard,201,95,5,California
1335,Ron Filipek,Forward,196,92,1,
1336,Greg Fillmore,Center,216,108,2,Pennsylvania
1337,Larry Finch,Shooting Guard,188,83,2,Tennessee
1338,Hank Finkel,Center,213,108,9,New Jersey
1339,Michael Finley,Small Forward and Shooting Guard,201,97,15,Illinois
1340,Danny Finn,Point Guard and Shooting Guard,185,83,3,New York
1341,Dorian Finney-Smith,Power Forward and Small Forward,201,99,5,Virginia
1342,Matt Fish,Center,211,106,3,Iowa
1343,Derek Fisher,Point Guard and Shooting Guard,185,90,18,Arkansas
1344,Richard Fisher,Power Forward,196,97,1,
1345,Gerald Fitch,Point Guard,190,85,1,Georgia
1346,Malik Fitts,Power Forward,203,104,1,California
1347,Bob Fitzgerald,Forward,196,86,2,New York
1348,Dick Fitzgerald,Forward,188,79,2,New York
1349,Marcus Fizer,Power Forward and Small Forward,206,118,6,Michigan
1350,Jerry Fleishman,Shooting Guard,188,86,5,New York
1351,Al Fleming,Small Forward,201,97,1,Illinois
1352,Ed Fleming,Shooting Guard and Small Forward,190,85,5,Pennsylvania
1353,Vern Fleming,Point Guard,196,83,12,New York
1354,Luis Flores,Point Guard,188,90,1,Dominican Republic
1355,Bruce Flowers,Power Forward,203,102,1,New York
1356,Sleepy Floyd,Point Guard and Shooting Guard,190,77,13,North Carolina
1357,Jonny Flynn,Point Guard,183,83,3,New York
1358,Malachi Flynn,Point Guard,185,79,1,Washington
1359,Mike Flynn,Shooting Guard and Point Guard,188,81,3,Morocco
1360,Larry Fogle,Shooting Guard,196,92,1,New York
1361,Jack Foley,Forward,190,77,1,Massachusetts
1362,Isaac Fontaine,Shooting Guard,193,95,1,California
1363,Levi Fontaine,Shooting Guard,193,86,1,
1364,Jeff Foote,Center,213,120,1,New York
1365,Bryn Forbes,Shooting Guard,188,92,5,Michigan
1366,Gary Forbes,Shooting Guard and Small Forward,201,99,2,Panama
1367,Alphonso Ford,Shooting Guard and Point Guard,185,86,2,Mississippi
1368,Alton Ford,Power Forward,206,124,3,Texas
1369,Bob Ford,Small Forward,201,103,1,Indiana
1370,Chris Ford,Shooting Guard,196,86,10,New Jersey
1371,Don Ford,Small Forward and Power Forward,206,97,7,California
1372,Jake Ford,Point Guard,190,81,2,South Carolina
1373,Phil Ford,Point Guard,188,79,7,North Carolina
1374,Sharrod Ford,Power Forward,206,102,1,District of Columbia
1375,Sherell Ford,Small Forward,201,95,1,Louisiana
1376,T.J. Ford,Point Guard,183,74,8,Texas
1377,Donnie Forman,Guard,178,79,1,New York
1378,Bayard Forrest,Center,208,106,2,California
1379,Trent Forrest,Point Guard,193,95,1,Alabama
1380,Joseph Forte,Shooting Guard,193,87,2,Georgia
1381,Courtney Fortson,Point Guard,180,83,1,Texas
1382,Danny Fortson,Power Forward and Center,201,117,10,Pennsylvania
1383,Fred Foster,Small Forward,196,95,8,Ohio
1384,Greg Foster,Power Forward and Center,211,108,13,California
1385,Jeff Foster,Center,211,107,13,Texas
1386,Jimmy Foster,Point Guard,185,79,2,New Jersey
1387,Rod Foster,Point Guard,185,72,3,Alabama
1388,Antonis Fotsis,Power Forward,208,99,1,Greece
1389,Evan Fournier,Shooting Guard and Small Forward,201,92,9,France
1390,Larry Foust,Center,206,97,12,Ohio
1391,Calvin Fowler,Shooting Guard,183,79,1,Pennsylvania
1392,Jerry Fowler,Center,203,104,1,Missouri
1393,Tremaine Fowlkes,Small Forward,203,99,4,California
1394,De'Aaron Fox,Point Guard,190,83,4,Louisiana
1395,Harold Fox,Point Guard,188,79,1,
1396,Jim Fox,Center,208,104,10,Georgia
1397,Rick Fox,Small Forward,201,104,13,Canada
1398,Randy Foye,Shooting Guard and Point Guard,193,96,11,New Jersey
1399,Adonal Foyle,Center,208,113,12,Saint Vincent and the Grenadines
1400,Richie Frahm,Shooting Guard and Small Forward,196,95,4,Washington
1401,Steve Francis,Point Guard and Shooting Guard,190,88,9,Maryland
1402,Tellis Frank,Power Forward,208,102,5,Indiana
1403,Nat Frankel,Forward,183,88,1,New York
1404,Jamaal Franklin,Shooting Guard,196,86,2,California
1405,William Franklin,Power Forward,201,99,3,Virginia
1406,Robert Franks,Power Forward,201,102,1,Washington
1407,Ronald Franz,Small Forward,201,92,6,Kansas
1408,Melvin Frazier,Shooting Guard,196,97,2,Louisiana
1409,Michael Frazier,Shooting Guard,190,90,1,New York
1410,Tim Frazier,Point Guard,183,77,7,Texas
1411,Walt Frazier,Point Guard,193,90,13,Georgia
1412,Will Frazier,Power Forward and Center,201,95,3,Louisiana
1413,Anthony Frederick,Small Forward,201,92,3,California
1414,Jimmer Fredette,Shooting Guard and Point Guard,188,88,6,New York
1415,World B. Free,Shooting Guard and Point Guard,188,83,13,Georgia
1416,Joel Freeland,Center and Power Forward,208,113,3,United Kingdom
1417,Donnie Freeman,Shooting Guard and Point Guard,190,83,9,Illinois
1418,Gary Freeman,Small Forward,206,95,1,
1419,Rod Freeman,Small Forward,201,102,1,
1420,Matt Freije,Power Forward,208,108,2,Kansas
1421,Frido Frey,Forward,188,88,1,Germany
1422,Larry Friend,Shooting Guard,193,83,1,Illinois
1423,Pat Frink,Shooting Guard,193,88,1,
1424,Jim Fritsche,Power Forward,203,95,2,Minnesota
1425,Channing Frye,Center and Power Forward,213,115,13,New York
1426,Bernie Fryer,Shooting Guard,190,83,2,Washington
1427,Frank Fucarino,Forward,188,79,1,
1428,Herm Fuetsch,Guard,183,77,1,
1429,Joe Fulks,Power Forward,196,86,8,Kentucky
1430,Carl Fuller,Center,206,102,2,Florida
1431,Hiram Fuller,Power Forward,206,108,1,Missouri
1432,Todd Fuller,Center,211,115,5,North Carolina
1433,Tony Fuller,Shooting Guard,193,81,1,Michigan
1434,Markelle Fultz,Shooting Guard and Point Guard,190,94,4,Maryland
1435,Lawrence Funderburke,Power Forward,206,104,7,Ohio
1436,Terry Furlow,Shooting Guard,193,86,4,Michigan
1437,Bill Gabor,Shooting Guard,180,77,6,New York
1438,Wenyen Gabriel,Power Forward,206,92,2,Sudan
1439,Dan Gadzuric,Center and Power Forward,211,108,10,Netherlands
1440,Daniel Gafford,Center and Power Forward,208,106,2,Arkansas
1441,Deng Gai,Center,206,113,1,South Sudan
1442,Elmer Gainer,Forward,198,88,2,Illinois
1443,Bill Gaines,Guard,193,83,1,
1444,Corey Gaines,Shooting Guard,190,88,5,California
1445,Reece Gaines,Point Guard,198,92,3,Wisconsin
1446,Smokey Gaines,Shooting Guard,185,77,1,
1447,Sundiata Gaines,Point Guard and Shooting Guard,185,83,3,New York
1448,Mike Gale,Point Guard and Shooting Guard,193,83,11,Pennsylvania
1449,Chad Gallagher,Center,208,115,1,Illinois
1450,Harry Gallatin,Power Forward and Small Forward,198,95,10,Illinois
1451,Gene Gallette,Forward,188,92,1,California
1452,Danilo Gallinari,Small Forward,208,105,12,Italy
1453,Langston Galloway,Shooting Guard and Point Guard,185,90,7,Louisiana
1454,Dave Gambee,Small Forward and Power Forward,198,97,12,Oregon
1455,Kevin Gamble,Small Forward,196,95,10,Illinois
1456,Bob Gantt,Forward,193,92,1,
1457,Jorge Garbajosa,Power Forward,206,111,2,Spain
1458,Rubén Garcés,Power Forward,206,111,1,Panama
1459,Alex Garcia,Shooting Guard,190,99,2,Brazil
1460,Francisco García,Small Forward and Shooting Guard,201,88,10,Dominican Republic
1461,Chuck Gardner,Power Forward,203,92,1,Nebraska
1462,Earl Gardner,Forward,190,88,1,
1463,Kenneth Gardner,Small Forward,196,92,1,
1464,Thomas Gardner,Shooting Guard,196,102,2,Oregon
1465,Vern Gardner,Shooting Guard,196,90,3,Wyoming
1466,Jack Garfinkel,Guard,183,86,3,
1467,Patricio Garino,Shooting Guard,198,95,1,Argentina
1468,Darius Garland,Shooting Guard and Point Guard,185,87,2,Indiana
1469,Gary Garland,Point Guard,193,81,1,New Jersey
1470,Winston Garland,Point Guard,188,77,7,Indiana
1471,Dick Garmaker,Shooting Guard and Point Guard,190,90,6,Minnesota
1472,Bill Garner,Center,208,99,1,Illinois
1473,Chris Garner,Point Guard,178,70,2,Tennessee
1474,Bill Garnett,Power Forward and Center,206,102,4,Missouri
1475,Kevin Garnett,Power Forward,211,108,21,South Carolina
1476,Marlon Garnett,Point Guard,188,84,1,California
1477,Billy Garrett,Shooting Guard,198,96,1,Illinois
1478,Calvin Garrett,Small Forward,201,86,4,Tennessee
1479,Dean Garrett,Center,208,102,6,California
1480,Diante Garrett,Point Guard,193,86,2,Wisconsin
1481,Dick Garrett,Shooting Guard and Point Guard,190,83,5,
1482,Rowland Garrett,Small Forward,198,95,5,Mississippi
1483,Tom Garrick,Shooting Guard,188,83,4,Rhode Island
1484,John Garris,Power Forward,203,92,1,Connecticut
1485,Kiwane Lemorris Garris,Shooting Guard,188,83,2,Illinois
1486,Pat Garrity,Power Forward and Small Forward,206,107,10,Nevada
1487,Jim Garvin,Power Forward,201,90,1,
1488,Marc Gasol,Center,211,115,13,Spain
